case_id,entity_id,case_type,order_id,payment_id,method,settlement_id,refund_id,bank_txn_id,expected_amount,actual_amount,variance,transaction_date,settlement_date,bank_value_date,candidate_count,confidence_score,evidence,reason,recommended_action,decision,status
EXC-038,setl_OfD28ynxALeId5,SETTLEMENT_VARIANCE,order_7kJaGV5ZEnm6Yq,pay_Ei1L9rPzzjrqM4,NETBANKING,setl_OfD28ynxALeId5,,TXN5259813511,1429.42,1457.33,27.91,2026-08-10,2026-08-12,2026-08-12,1,90.2,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN5259813511"", ""bank_amount"": 145733, ""bank_value_date"": ""2026-08-12T03:26:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 27.91, ""date_gap_days"": 0, ""confidence_score"": 90.2}]}",Reference matches; amount is within tolerance but not exact.,Compare against the settlement's fee/tax break-down; escalate to Razorpay settlements support if the gap remains unexplained.,HUMAN_REVIEW,OPEN
EXC-039,setl_LwfwmByqLfAwlN,PAYMENT_STATE_AMBIGUITY,order_6uTT7JndNude7x,pay_poVybmyyO7jsXT,NETBANKING,setl_LwfwmByqLfAwlN,,TXN7835707478,322.09,322.09,0.0,2026-09-11,2026-09-13,2026-09-13,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7835707478"", ""bank_amount"": 32209, ""bank_value_date"": ""2026-09-13T21:27:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-040,setl_Xs9QspAJI4FFzC,PAYMENT_STATE_AMBIGUITY,order_6uTT7JndNude7x,pay_poVybmyyO7jsXT,NETBANKING,setl_Xs9QspAJI4FFzC,,TXN7835707478,322.09,322.09,0.0,2026-09-11,2026-09-13,2026-09-13,1,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": true, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7835707478"", ""bank_amount"": 32209, ""bank_value_date"": ""2026-09-13T21:27:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}]}",Another ledger entry claims the same bank transaction with comparable confidence. Duplicate ledger entries were also detected for this payment_id/reference/amount combination.,Manually check settlement webhook logs to confirm whether a duplicate settlement.processed event was received.,ABSTAIN,OPEN
EXC-041,setl_WL1gIFkhmwTRVE,DUPLICATE_BANK_ENTRY,order_smcb2wjZ3bdAMh,pay_E9WVVI302Lgd6X,UPI,setl_WL1gIFkhmwTRVE,,TXN1274627571,4159.59,4159.59,0.0,2026-08-27,2026-08-29,2026-08-29,2,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": true, ""candidates"": [{""bank_txn_id"": ""TXN1274627571"", ""bank_amount"": 415959, ""bank_value_date"": ""2026-08-29T16:59:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}, {""bank_txn_id"": ""TXN4989569477"", ""bank_amount"": 415959, ""bank_value_date"": ""2026-08-30T16:59:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 1, ""confidence_score"": 100.0}]}",Two or more bank transactions match this ledger entry with comparable confidence. The matching bank transaction itself appears more than once in the statement.,Confirm with the bank whether one of the two credits is a duplicate deposit before adjusting the ledger.,ABSTAIN,OPEN
EXC-042,setl_R3WzmscuSTh9rf,MISSING_OR_DELAYED_SETTLEMENT,order_uyVAyc5jJ88X28,pay_yQIsU4arG5RBmH,EMI,setl_R3WzmscuSTh9rf,,,2746.02,,,2026-08-05,2026-08-07,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-043,setl_Zfd3DBwGKGyqEA,MISSING_OR_DELAYED_SETTLEMENT,order_MvcOhsTC8X9J3M,pay_0osPYJixTgGlWC,CARD,setl_Zfd3DBwGKGyqEA,,,404.5,,,2026-08-24,2026-08-26,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-044,setl_lSsgi3p63doLoF,DUPLICATE_BANK_ENTRY,order_OG7rmZ0JfHtKE5,pay_Bz1tphgkipftzk,EMI,setl_lSsgi3p63doLoF,,TXN1761548571,2670.71,2670.71,0.0,2026-08-02,2026-08-04,2026-08-04,2,100.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": true, ""candidates"": [{""bank_txn_id"": ""TXN1761548571"", ""bank_amount"": 267071, ""bank_value_date"": ""2026-08-04T04:17:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 100.0}, {""bank_txn_id"": ""TXN5129950896"", ""bank_amount"": 267071, ""bank_value_date"": ""2026-08-05T04:17:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 1, ""confidence_score"": 100.0}]}",Two or more bank transactions match this ledger entry with comparable confidence. The matching bank transaction itself appears more than once in the statement.,Confirm with the bank whether one of the two credits is a duplicate deposit before adjusting the ledger.,ABSTAIN,OPEN
EXC-045,rfnd_eVVhDIq2AnHTmt,REFUND_RECONCILIATION_EXCEPTION,order_n62tOy4CqpIqK3,pay_w9iEU1jjQKxKDp,EMI,,rfnd_eVVhDIq2AnHTmt,,2203.25,,,2026-08-23,2026-08-23,,0,0.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,EXCEPTION,OPEN
EXC-046,rfnd_rgmolaHr8IRh1E,REFUND_RECONCILIATION_EXCEPTION,order_g7NZRBT7qYHDBT,pay_tp5rBUJPuEuEvq,NETBANKING,,rfnd_rgmolaHr8IRh1E,,4554.22,,,2026-09-01,2026-09-01,,0,0.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,EXCEPTION,OPEN
EXC-047,rfnd_Hyx6RHKT2OZM6r,REFUND_RECONCILIATION_EXCEPTION,order_XnlpUVQigMcWcw,pay_fsUkiH8G4ZpZDY,NETBANKING,,rfnd_Hyx6RHKT2OZM6r,TXN5827752995,1600.48,1600.48,0.0,2026-08-20,2026-08-20,2026-08-20,1,50.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN5827752995"", ""bank_amount"": 160048, ""bank_value_date"": ""2026-08-20T20:48:00"", ""reference_match"": 0.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 50.0}]}","No exact reference match; amount and date evidence give a probable, unconfirmed match.",Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,HUMAN_REVIEW,OPEN
EXC-048,rfnd_MjeBsrdFtCdZe1,REFUND_RECONCILIATION_EXCEPTION,order_asnipuaUkxRFZX,pay_yUBCetAzNrz7k6,WALLET,,rfnd_MjeBsrdFtCdZe1,,2172.31,,,2026-09-13,2026-09-13,,0,0.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,EXCEPTION,OPEN
EXC-049,rfnd_rodJ0jwAsPLmbk,REFUND_RECONCILIATION_EXCEPTION,order_0VJltYLNgEuevt,pay_2fRN2BqpepgaxT,CARD,,rfnd_rodJ0jwAsPLmbk,,3780.54,,,2026-09-11,2026-09-11,,0,0.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,EXCEPTION,OPEN
EXC-050,rfnd_R8WO6UjCufdXIJ,REFUND_RECONCILIATION_EXCEPTION,order_uSjjud5MPEJwWt,pay_7GWjHzv2Pus6MD,EMI,,rfnd_R8WO6UjCufdXIJ,TXN1375916977,4535.55,4535.55,0.0,2026-08-22,2026-08-22,2026-08-22,1,50.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN1375916977"", ""bank_amount"": 453555, ""bank_value_date"": ""2026-08-22T00:19:00"", ""reference_match"": 0.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 50.0}]}","No exact reference match; amount and date evidence give a probable, unconfirmed match.",Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,HUMAN_REVIEW,OPEN
EXC-051,rfnd_Tjlib9MLLKobeW,REFUND_RECONCILIATION_EXCEPTION,order_FC5bpGuyjvvMo8,pay_rdpy9966nvyiTG,EMI,,rfnd_Tjlib9MLLKobeW,TXN7687395567,561.48,561.48,0.0,2026-08-17,2026-08-17,2026-08-17,1,50.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7687395567"", ""bank_amount"": 56148, ""bank_value_date"": ""2026-08-17T07:04:00"", ""reference_match"": 0.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 50.0}]}","No exact reference match; amount and date evidence give a probable, unconfirmed match.",Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,HUMAN_REVIEW,OPEN
EXC-052,rfnd_oPe5JEKCIYk7eg,REFUND_RECONCILIATION_EXCEPTION,order_DPgdAlKKZRMtYS,pay_Ye5VJfXRgtNVD6,CARD,,rfnd_oPe5JEKCIYk7eg,,365.95,,,2026-08-14,2026-08-14,,0,0.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,EXCEPTION,OPEN
EXC-053,rfnd_3jN5PqR4JF6EB0,REFUND_RECONCILIATION_EXCEPTION,order_VGQ9taaezGQvSp,pay_bf6OZ6NRh1iO3J,CARD,,rfnd_3jN5PqR4JF6EB0,TXN6863067117,3949.91,3949.91,0.0,2026-09-18,2026-09-18,2026-09-18,1,50.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6863067117"", ""bank_amount"": 394991, ""bank_value_date"": ""2026-09-18T20:07:00"", ""reference_match"": 0.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 50.0}]}","No exact reference match; amount and date evidence give a probable, unconfirmed match.",Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,HUMAN_REVIEW,OPEN
EXC-054,rfnd_JK8CiRl2MRaMxQ,REFUND_RECONCILIATION_EXCEPTION,order_dBnLlxCmwqubJr,pay_0Ckv2LWNLk81f1,WALLET,,rfnd_JK8CiRl2MRaMxQ,TXN5677877738,2569.34,2569.34,0.0,2026-09-12,2026-09-12,2026-09-12,1,50.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN5677877738"", ""bank_amount"": 256934, ""bank_value_date"": ""2026-09-12T16:36:00"", ""reference_match"": 0.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 50.0}]}","No exact reference match; amount and date evidence give a probable, unconfirmed match.",Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,HUMAN_REVIEW,OPEN
EXC-055,rfnd_9cyFS541odbJIq,REFUND_RECONCILIATION_EXCEPTION,order_2sKCPMq72llUL2,pay_AbyaOCzOUTsYMQ,WALLET,,rfnd_9cyFS541odbJIq,TXN4912604114,337.28,337.28,0.0,2026-08-11,2026-08-11,2026-08-11,1,50.0,"{""direction"": ""debit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN4912604114"", ""bank_amount"": 33728, ""bank_value_date"": ""2026-08-11T14:16:00"", ""reference_match"": 0.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 0, ""confidence_score"": 50.0}]}","No exact reference match; amount and date evidence give a probable, unconfirmed match.",Confirm refund status via the Refunds dashboard/API and cross-check the acquirer reference with the bank; escalate if the refund is more than a few days old.,HUMAN_REVIEW,OPEN
